Epic,Feature,Story_ID,Title,User_Story,Acceptance_Criteria,Persona,Priority
Home Page,Log in,US-001,Enterprise Login,"As a Service Line team member, I want to log into the application using my enterprise credentials, so that I don’t need to manage a separate password","Given I have valid enterprise credentials
When I attempt to log in
Then I should be granted access without entering a separate app password",Service Line,Simple
Home Page,Log in,US-002,Route to Service Line Homepage,"As a Service Line team member, I want to be redirected to my Service Line homepage after login, so that I can immediately begin work in my scope.","Given I successfully authenticate
When the login completes
Then I am taken to my Service Line home page",Service Line,Simple
Home Page,Log in,US-003,Load Context (Service Line + Horizon),"As a Service Line team member, I want the homepage to automatically load my assigned Service Line and time horizon, so that I see relevant information without manually selecting it.","Given I have one or more Service Line assignments
When I land on the home page
Then my assigned Service Line and next-12-months view should already be applied",Service Line,Simple
Home Page,Log in,US-004,View Access Restricted to My Scope,"As a Service Line team member, I want my access to be limited to my Service Line, so that data remains secure and aligned to my role.","Given I am logged into the system
When I attempt to view any Service Line data
Then I see only data mapped to my assigned Service Line(s)",Service Line,Simple
Home Page,Log in,US-005,Session Timeout & Re-Authentication,"As a Service Line team member, I want the system to log me out after inactivity and require re-authentication, so that security policies are upheld.","Given I am logged in
When my session expires due to inactivity
Then I should be logged out and prompted to sign in again",Service Line,Simple
Home Page,Log in,US-006,Missing Roles Error,"As a user without Service Line mapping, I want a clear error message, so that I know why I cannot proceed and who to contact. ","Given I log in without a mapped role or Service Line
When the system loads
Then I should see an error informing me that no role is mapped and an admin must assign access",Service Line,Simple
Home Page,Log in,US-007,View Overview + KPIs,"As a Service Line team member, I want to see key KPIs and demand summary immediately on login, so that I can quickly understand my area’s status.","Given I access my Service Line homepage
When the page loads
Then I should see KPI tiles and overview data relevant to my Service Line",Service Line,Simple
Home Page,Home Overview Panel,US-008,View KPI Tiles at a Glance,"As a Service Line COO, I want to see key KPI tiles summarising demand and fulfillment, so that I can immediately assess operational status.","Given I am on the home page and have access to a Service Line
When the page loads
Then I should see KPI tiles showing total demand, fulfillment gap %, practice areas, micro clusters, and onsite/offshore ratio",Service Line,Simple
Home Page,Home Overview Panel,US-009,View Forecast Trend Line Chart,"As a Service Line COO, I want to view a forecast demand trend line, so that I can understand how demand is shaping over time.","Given I have forecast data
When the trend graph loads
Then I should see a 12-month line graph showing forecast FTE with hover details for each month",Service Line,Simple
Home Page,Home Overview Panel,US-010,View Short-Fuse Heatmap,"As a Service Line COO, I want to see short fuse demand across skill clusters in a heatmap, so that I can spot resourcing risk areas quickly","Given short fuse demand exists
When I view the heatmap
Then I should see a colored grid grouped into volume buckets showing the intensity by month and 10 skill clusters",Service Line,Simple
Home Page,Home Overview Panel,US-011,View % Change in Short Fuse Demand,"As a Service Line COO, I want a metric that compares short fuse demand to a previous period, so that I can see whether urgency is trending up or down.","Given the current and comparable period demand exist
When the KPI loads
Then I should see a % change trend (e.g., higher/lower than previous period)",Service Line,Simple
Home Page,Home Overview Panel,US-012,RBAC-Aligned Data Visibility,"As a Service Line COO, I want to see only data for Service Lines I own, so that confidentiality is preserved.","Given I am logged in
When dashboards load
Then I should only see data related to my assigned Service Lines",Service Line,Medium
Home Page,Home Overview Panel,US-013,No Data State,"As a Service Line COO, I want the system to clearly indicate when no data is available, so that I understand the absence of results is not an error.","Given there is no recorded short fuse demand for the selected period
When I view the heatmap
Then I should see a message indicating no short fuse demand exists",Service Line,Simple
